key,volume,num_txs
0xDBA800F4Da03Dba3f604268aeC2AD9EB28A055A4,147763,405
0x90E34f5DF30F0510D32BB5E35816A2204E241fEb,5830654,126
0xEa32e867d8d734F6c963F2d50c879dD737ad0284,134,117
0xce16F69375520ab01377ce7B88f5BA8C48F8D666,573895,111
0xfAf45B64C87a53d1E789100ebB4FdD53Aa57b6bF,5204,105
osmo1mmc3t95zm3985njsj58ww5vph2xfeq5hh4gjtw,208870,104
osmo1tqctx98qz2aa25j5knzuztxaerl3z0ld8q6c72,3356728,82
0x0202542b8303461c3D219f01d5b3248b189224Eb,116387,78
0x3f6dfd42844E3596b03FA8D6019A543F65E12FCa,103700,74
0xA57ADCE1d2fE72949E4308867D894CD7E7DE0ef2,274,74
0x091D23De14E6cC4b8Bbd4eEeb17cd71A68dF8Bee,322853,62
0x2b6959f2E5C8F7433d9B0b79F757f76cd369789b,101760,56
osmo19l9wsymdh3mp7munzrlk8rs03ttnu2uaujyktu,17986,49
evmos1zys97dnq888tucky38cttr0tc32qhq2wfef2x3,27147,44
osmo1lc2ful5tkm5mjnn8msqwvgjpm22p9xe3m7005h,15647,43
0x8447BC7E8dc0c258DB23C797D6fbdE5eaD71D1cA,42,41
osmo1p6earnu28exmw0jepxdrm0m5vzy2k5avukp8tg,7578,39
osmo1futtnnue5tlr0vzhf7y05q50ag24yu9jxdn5lh,62814,35
kujira1200zz4f9r8dqsqtuuhew3u2xwtmaca9f5rfuaq,221240,32
osmo1200zz4f9r8dqsqtuuhew3u2xwtmaca9fdsc5xc,194235,30
osmo19lves39way47h6vamr5ddyqaqep4s3un94e9km,56113,30
0x4F8eC134aC9905A5255F0c8dea87ACaDBC05b6b4,141528,29
osmo1al5pp6dktlk9asl38ct5eg7evgcyaut3cms3rr,128777,29
cre1m48sacmaq34dz7zvd8yl0x02g6pd3px0czp6ne,22353,28
osmo12pse2fmk728qxayclgmk9v2x5lh3rr2mumdz4z,72479,28
osmo1pmtfpcnwmmk5dw7lll82wf4s5dwww0uwl4tfd7,52911,28
osmo1akjk279tmjzfk94n69a4j9w68dggpvjwkhzzm5,36326,27
0x5226Bf1397A4779d680bf871Da163acBA2295749,157507,26
osmo15y7jmgp2c64zxcwttf09vcy24gm2tnzlpnr9p9,10103,26
0x616Df8daF2C7326eC5a473ECF7C865157e5B5189,67156,25
kujira1akjk279tmjzfk94n69a4j9w68dggpvjw0yn2qv,29279,25
kujira1yjt7hqxjursac2cwlj79fpgj2jsmpu7edmgtd0,21704,24
osmo1ft79c8jmshvh8rssxtw8rpeusrkfw94etm3nrq,36661,24
0x273220719b3a0B1e986EFF245017ca80fF98EE8F,5185,23
0xd700d918DC28e37f2B103ab2241208DbdE3Ef416,120998,23
cre1cw4d6ayhdfk2wclvy8fvxff26l8naddql0u8zk,4630,23
terra1swcwwfpa5rdpdfksvtarqppcdaumdekanc4j86,5867,23
osmo1c24ktf5kck3ywxyyxuvyhgmwv9hqxahfkpguj9,81546,22
juno1c24ktf5kck3ywxyyxuvyhgmwv9hqxahfggchrt,102454,21
osmo1wjjg0mvsfgnskjj7qq28uaxqwq5h38q68enshj,254696,21
0x143187aCAeD94aEDe967c47F34EBfd9FD6f27ae1,50176,20
0xa8EAD1cf79DA4882b3F90DB16709A76a4adB3AE9,20,20
axelar1ddrdyz6lvqdhch7l2n3tczw7f6yrdrrtpp97fc,148181,20
axelar1zjfajdhxh93u2gle6pgcqh6y982xwd4ruhd7gd,17618,19
osmo19yf7534sh6f6y949axqzgjq0fzg7fec98yls9g,2129,18
0x8019067C09Ea6587383f728Bdc708f41590a12ce,34010,16
axelar1tqctx98qz2aa25j5knzuztxaerl3z0ldt4lqre,97439,16
osmo18xt39w2lw7q0u39z26hj0z6ft3k3cg3vufkdp0,917,16
osmo1jgxaa2hy46jau8umvv74sjkanydl3jus6sr0np,2397,16
0x79f86ceEe7E172AAd18fd65571BA63D31c5A7f55,45538,15
0xD70b8440b50e58dEd8367f78a224c2C5f299F9D5,19870,15
osmo1496xl6gq5305rs7p8e99n3sw5v0mj54drhdaje,336,15
osmo15g3t00hlur87x33gxkmg4smkudgnklejucc07e,15,15
osmo1k7eh9ngcmwz5rq9cz0c9nwwwaagpfzfmvr7pv7,2743,15
osmo1m2z4g9zqu2cvhj2s3kmcg4uf7fdrlet9hrddgv,2562,15
osmo1qazqc3wr40y3z5gnmydrpxnz5zvxlqwpf220vl,57006,15
osmo1sp406kln5l5mdqlvxmhvzj8yk6pmejlt6rc0k4,370247,15
osmo1w2jmj6ndgraxu48hnxsmjj4en5exmcmakund9k,3104,15
0x15EF67B9f001A9fe671605495893B5284a7f5216,15160,14
0xF4149F4624F0f350e50f069c5D7A4F25aDc2cC0e,7584,14
comdex1k7eh9ngcmwz5rq9cz0c9nwwwaagpfzfmrh0nrm,2862,14
osmo16ezxjygl0c4556jma84726slz48m2dgpa5z7x5,74228,14
osmo1q272app7f5j5zgpjcewdajljurgansg6wqj7ke,1151625,14
osmo1r2hggerja37vfg4c5fapuhvgg4rf0fxtw98txs,7638,14
osmo1rpeym2qd06jkwsxcqquc99g2przns5v62a8u2r,142298,14
osmo1uwkvzf0smw6je8mgydfsex3pv60azczzwsw5s3,8036,14
terra1x78yldt67nrm0p89jtll3j99fn2qzlzlelr7va,349,14
0x10929100201b423E3297e7d79646422b095374Ce,21859,13
0x98bA19c8fd262709838AA4B5Bc7862857C35dD85,21561,13
0xaFC8aE88f8ee94368F9A37102f6Dc06B01386803,5769,13
0xfAc5EBD2b1b830806189FCcD0255DC9B174decbc,4769415,13
cosmos1vhcty8v2dhds4gcxs65k6dt07vjhg2de2k0p8k,460,13
kujira1p6earnu28exmw0jepxdrm0m5vzy2k5av99s0ss,2182,13
osmo1rphd0j66lpnzchpw956ejyhg237rffy9vgvrnh,1164542,13
umee19lves39way47h6vamr5ddyqaqep4s3unlch2ym,69069,13
0x42e096d05a1436Aa511381AFF7412E3e24baC206,25871,12
0x7575d9eb64CCe0DF0D570Ae88049382Ce6fB0D31,12192,12
0x8bB80D1DC6f2FF74CbCE711742E24437147F9bc1,295,12
0xAd148e7718F118652c0eA401cA3FaACd885Fb763,16142,12
juno1esfk8mhh524320sz3s4uzz2er96pcpxzenm5cg,860,12
juno1vt9vy3a2kwvn74gq4pz3zfezcl8lfxfxv4ryg7,3366,12
osmo1achyrhanatq9yurc78yhk4yed43jvs836nm7y3,6056,12
osmo1q8a0355fptqe02v6d2kvxmhrg83fh7u3nq3v4g,4090,12
osmo1yjt7hqxjursac2cwlj79fpgj2jsmpu7e5gerkh,9587,12
0x0b7C75A9689A84854256c7d5dB7C87fEB1bbbb8b,705,11
0x84dAc841aB1e644D0a0f82618A25C68126C49c0b,3555,11
0xF451F946781cB48314a94c8a78FEF259850d6B97,2246,11
comdex10ltfhkama9sqedn88pw4pap8h409lftuak4h5t,2888,11
cre1fm2h9mp4xrrumdrjk2w97hltnrt2u2twrzj50c,9765,11
kujira1k6epw2h4jkpynt3j8quzr8ehus5v8neshznfck,4785,11
osmo1e7fcfaxpjlyf3h5qdpcr2qp0v5pctrqdkp2jl6,12459,11
osmo1lttjtqh26d9dhy2v2kc74zdpd7yl2xtardr55m,1755,11
osmo1ph65sftlddjcrvwl4lf4cpycmhhxpnu23lt29a,6811,11
0x1385B15F50f68b3a78385A40C817D8bd6FBe90Cd,5175,10
0x3365F128a058111c05bC6C403FC430991ca6C9fC,975026,10
0x4d8cf13aA418e969C63870C5b7BfE38f91a1f87D,15,10
0xC2708BD3424a383F4A91B17ab8D9c2321E6a7f8b,30039,10
0xe56a39eC08C580917d9E8dD237876f692958Da34,540001,10
juno1futtnnue5tlr0vzhf7y05q50ag24yu9jcyrlwe,13002,10
kujira12pse2fmk728qxayclgmk9v2x5lh3rr2m9gu2w6,18061,10
kujira1rkk8tfk8xkhln3v64776tq6e3wjs9jh9qxxc5z,1834,10
osmo14d332dqe0q4azlahstcapf2qc630k7p9xks96u,3008,10
osmo18zfp87zl42xxf7khy4ut0jdrq5xqlhtmgqec90,228,10
osmo1f82dgj5kfgearhkxsl7ss20ujsh052zw0czuwq,5297,10
osmo1j37aljze5knsr5rh6pr7wlfpkglx3vv4lke23k,5016,10
osmo1pzqw5erp0ugf97927sfwgyd36ca6a688xez9uj,20953,10
0x118ebCD89B0fbe992D9d3487B592c036Ac502C31,1254079,9
0x193Db18A5EF9a0320b7374C1fE8Af976235f3211,365580,9
0x2747363d886C7fdCc5187217f1cA493922AA4940,709917,9
0x406948062e2d21675bb9767468D50F5d79B60f28,22208,9
0x9d068f19DE114c2bA8Ef89F437D97DF78614e11D,241021,9
0xCC7AB172233c8449268350670f7560A754d6F7E4,64102,9
0xCF05d1176c31233Bfd3eDfa4B1362a6d24e3184F,23687,9
0xace7C2c094f2e82af0E958106e99f98507937165,11618,9
0xd2Fb7304FA1e11dfB4cA44C5216167f0f52ec80E,22890,9
0xdED4a06Fd6df9F6e2cB355bCa0BBc3Ba632b2Cf3,25674,9
0xdF0f3F5c40B0237d7e9bCDF0EEC0f4Fd4649D882,37339,9
agoric163fdqtjc8xjhtfa4xn4krs5c56gkpkjfrjk7jm,22742,9
cre1lttjtqh26d9dhy2v2kc74zdpd7yl2xta07rphy,3158,9
osmo10xnqv49h7hh0gfspl7pq6w5nfqtkvj4rxzhel9,95182,9
osmo12djujg55qa49ulzvxkjrwx7gr00ssryn27nshx,264872,9
osmo13vf0xrt5kchx7a7zqqsn96c75rtffrqn53w8gv,674,9
osmo17p5jcrsshnz8r6ghrhw2u934kemrd25krvd7ep,1627,9
osmo17zp8dxwj40kw0998gv6x4z669cl8dsj3u5g2dy,42311,9
osmo192cjnhp9pfr5269gwktnr48t2acvq4pj5kxgkr,12106,9
osmo1alfwvnzkzn063pr2p3dnw5anfh7amrv0c4m8rr,3521,9
osmo1jnpevf3zg3wc3vyqssxu96lz899g00skk60rtg,3705,9
osmo1lgdwng93exmdfjkerg7spadkl9tzc22v549tp7,24906,9
osmo1mslujpu77jmtp4fd8ed32xmj6c0h3q6etuzed0,34119,9
osmo1petrpa4jgcc0su7jrp7y7aqcnd2rpgdz6d9pg2,80941,9
osmo1q308uvw9lpyqc507732840nkczx9mv5j527zah,2717,9
osmo1sxxvr8ewr6w6mv05k0ygqmyu3vwmta7vdyecw5,20331,9
osmo1vnxp8wv7ygluta2kjx8tqddhsrkqle9mr4dswf,15032,9
osmo1x3z2vepjd7fhe30epncxjrk0lehq7xdqe8ltsn,67,9
terra1dhs877rjpl7k0s853qg6qu5mxzds6qnc9wy0fs,859,9
terra1zsqu60y738u0jgk36sdrptq44ejke6a7e392sd,878,9
umee13g0dpvj9m9r2rcct2y99mql2p6aqn8c3w03xkr,381,9
0x07e54e08f7e6aD85916Ab549a9287b1134c31Df5,268506,8
0x18C6cF266b3fE58078e201C849e57Bc355EfDCc9,150701,8
0x5322f00eCbEB4C001f05a1252b7de69356BBc4BD,9030,8
0x68d916de46dE48b77AE11cF3a119Cf8A9D7B6F0F,547,8
0xBaA50208064a4972C2fC19d906497701edd25dbD,15462,8
0xBeC0b51068Dea59f93d36e4dB68a2af949B745D1,11808,8
0xD6064cF0e31e1E81a8AdE1686d5e1704276b654f,3249,8
0xE30B3CfcBb86bC53969f669Bb5219A80e2a3ED51,18239,8
0xEF3BB4911caAf4763A24bd5635B38C9673983300,361,8
juno1e7fcfaxpjlyf3h5qdpcr2qp0v5pctrqdgg6ew5,11508,8
juno1rddjencjt8v3wr882ydlltc70drwuk5ppyynjy,67,8
kujira16n9npclhpfd0vthsr8udq02aazqta7ewamzh5a,5786,8
kujira1gngl9qlrtn4kdf0ytm6cegs5ruzhx6hd8cs02z,13744,8
kujira1mkufrwcpfz0z6xyvgm55t5qmjwnrtf3ua974hn,2347,8
kujira1xzmgjjlz7kacgkpxk5gn6lqa0dvavg8r8gu3q9,111054,8
osmo129rvtv5tmpp52ged67c8lmcqxlzh9lnvpl57j2,1519,8
osmo13w44qxlgl7ued0w6jep6yca73htmrwasrrcp2u,14731,8
osmo13zgvlec8zz9vmh9pe93deg3d4r97wu6yl9zf25,5381,8
osmo190tekuy9mzjxtr82hvfd5g6ptfegf8amg78r9c,66,8
osmo1930tyngqn9z5thqz4y4p7ya6eqnscjyk3sl4ar,19711,8
osmo1ddefwgwems0u53w78mczqkz86gqx3uc8h284m2,14036,8
