key,volume,num_txs
0x69460570c93f9DE5E2edbC3052bf10125f0Ca22d,470460,362
0x4cb6F0ef0Eeb503f8065AF1A6E6D5DD46197d3d9,382760,319
0xa311f7Ca3Eb2Fb98123A807f9b8e4BbbDBDcB2Ee,220758,127
axelar1syevk5xjy7hsknarlt285hlvzp3d7088phs97y,160,103
axelar1attgczvw3zzhseyv03apprhcfzyykrjehlzvmu,156,91
0x7c627A481a6D50409EFf29DBbadE08Aa194a311c,491098,80
0x65A8F07Bd9A8598E1b5B6C0a88F4779DBC077675,127111,76
kujira1yjt7hqxjursac2cwlj79fpgj2jsmpu7edmgtd0,419461,75
osmo19nm8ydv0ddej4cyx5v67x4ypan4vf2wcyctgje,238068,73
0xe065D88f41615231e69026040C075d9F9F1bD00A,816757,59
secret19caprswny9ytf0f056mxrvllgsz00f4n5vu45q,160426,58
0x69a5DD596f448A65fBD8b5aeB345CA53ea20bc71,168166,57
rebus18d00xl02je4z5uwkwsyvr5cpardlnnjscggwnk,7066,54
0x4c439c2A4C0b3bEB11bF7279BCdAaC07A70fB995,345761,51
axelar1mjmp6ss6j0mh900hf3z5ewq28uuv4f7j0q2gcd,24,51
secret1qj5v553tt8hkh3nprp28utdcpkmp6fkaj3rmjq,34630,50
axelar1nhgfzg5m74wwg9wwnzuxfk8f0kjpakv95kwfr2,44,49
axelar1xrd5gu5savc22sgwjqfkswz5py5lcdtmhk9dn7,1634,46
osmo1xrd5gu5savc22sgwjqfkswz5py5lcdtmmrq4wd,1541,46
kujira1mv5j0nknrr4j8gw57cw5yahfd5yr80ld80axqx,87353,45
axelar1ndvc6cxhscexldhnuf445alupw34vfl4uhhqza,7,44
xpla12yks2hdxqed3ej5kkfhz3x60mj966q923muyxc,57248,44
0x91b59d2667FF31e1453Ea1e3fbABB037E67D3992,875881,43
0xc0ad993C76000a950782AB0561a524732CB27c7D,69838,43
axelar1swfwaavsz2saatfxufwnsm83y8c5apgddmq7ah,199,41
axelar1v3dgz5f6d945q03620pj9pg8e6n42eq9y0wlzk,51588,41
osmo1nd0kzuaxycx9wuunmp4ph96607st9m79wjzvry,32647,41
osmo1044qatzg4a0wm63jchrfdnn2u8nwdgxxt6e524,241703,37
0x73f9EfAf5E30179e2915c5EF6F790A6A7E8A9794,1654661,36
secret1de67a8mte8hj30v9yqp5emm4adstqmgsvmqdsl,131576,36
0x068cA4D5a5cAb75a7610618Ba609E2F972C2EF88,155981,34
axelar1kxs0tfvqpdaj7rutldntrnteq7vcw5cr7zz80t,28011,34
axelar1xq0dgxldqczqj3xa89jtkym0my8rxn2sm37dss,10,34
kujira1p5afwncel44vfrvylghncu2su7we57gmwyf3j2,57874,34
osmo1yjt7hqxjursac2cwlj79fpgj2jsmpu7e5gerkh,175004,33
0x30273fE97daa77d2345645982797C4cF9d1bA111,195637,32
osmo129rvtv5tmpp52ged67c8lmcqxlzh9lnvpl57j2,27070,32
0x3b60e3A06Af5aa4DA178aaDe658211a0D3F51222,222976,31
axelar1jwna87w64mgvvw52np3mg0ugdhmhcz36zts8z3,2,30
osmo1s0q4e7pr7g00sc3g7mcv022t85dlfe3lstt3ld,28814,30
axelar16qvlr09ayf9ajzl39m6uw42gmafl0j9wvkc375,2,29
osmo1p5afwncel44vfrvylghncu2su7we57gmhhcefj,91410,28
axelar1eln0ly2uessg75js9qxvrl7j30lkdma4u9g7ps,5,27
osmo18xt39w2lw7q0u39z26hj0z6ft3k3cg3vufkdp0,1429,27
osmo1u47dtf4e9paqu6mx3jpjdmyr4y9nzgqxykfj6k,79709,27
0xCE069f944C6F7c6Bd76f7DB83408755968426f1C,36831,26
axelar14ux9ke055da4tg24het0qn37cykeq54h550l9z,0,26
axelar1mdyex746fucrcmux4v83ydhfnkuedjeg3du85l,2,26
axelar1mv65zzetk8s5xpyn9f4plzdn5eydawkj27psv8,0,26
ki1ndrq7wqqxjxmkjksgmvu0yvelesj08wjc4xn3q,6003,25
osmo19yf7534sh6f6y949axqzgjq0fzg7fec98yls9g,789,25
0x89E66c8077cb37378d5145ce0dF16D908Bc0Ad35,34053,23
kujira14j0cp2j9rsdjdcatyflkjfrfl4uztlv2zylx68,12623,23
kujira1hwezrygqww9gznlzcyvdk2p7xdks2rqsdar2dq,20382,23
secret1ch6m799rrd863atjn4mkxwjysls6vcju0kyhvv,23362,23
0x1f490E99657cd08A058c6Bb6cD81Dd38F59e0e7a,45420,22
0x87ecb9eed05778AC1740C1Bc64915b37B2Cd8401,131083,22
osmo1fe4fknhcc4gx95nwzaymrudygc5y0t7qtgqldc,5004,22
terra143kcg4pnlsrpmtjmkkz9kxymxwh6xew4q5gz96,14932,22
umee1pjuufs7jk6sa5avs36uec8u8spf2hqq02xdyyy,56884,22
0xF31AeC5bDf7b5A7647Cdb08901cA090b700D38F5,20508,21
0xF791da446D04282f921f38FBF954aD5cAee899a3,12094,21
0xfAf45B64C87a53d1E789100ebB4FdD53Aa57b6bF,8257,21
kujira15wnjx4z4knp0h9cfru3cp0txpy5n9g5ptk6hjn,68314,21
osmo15wnjx4z4knp0h9cfru3cp0txpy5n9g5pj9tlft,61467,21
secret1uvrqerrh93mau42v7rrrmnyaadpgq8t5hanmyp,17662,21
axelar1enpgz9euatlul2u5p7kc4ggd7wdnvdpeqcw5fy,10003,20
axelar1gysfu955xdawtw80wegpa7hmlmr0j4h8yeuvcm,9,20
secret1k5xgkrxhl4aqc07hwndr6l65uxenm6plh897vj,25170,20
0x2d727D195fBD9CD532e1740faDB52DbF2d52E342,81,19
0xacD2C877c1F27B17768495CD8b2e3F5360001CB9,22827,19
0xcf06A5d47fb01FcA528Baa474a4953f9F92ee333,164176,19
osmo14j0cp2j9rsdjdcatyflkjfrfl4uztlv2mhwwpl,16996,19
osmo1caa6hsntrtneyfx3zwepkd836hp8q5lhp7r2lk,794,19
0x97F60788D3A2a1202e2a29254d15859a1C41E2A3,388528,18
0xB38e8c17e38363aF6EbdCb3dAE12e0243582891D,47596,18
axelar1w93nayn39gsjxxrh63fnx8j989qzkwzfmk3kj3,10,18
neutron18xt39w2lw7q0u39z26hj0z6ft3k3cg3vsdvld6,869,18
osmo12afx74mey05dpllkxsaqexhyeljstnuvsaug5y,53267,18
osmo1enpgz9euatlul2u5p7kc4ggd7wdnvdpevdtv5h,13865,18
0x75CfAE951552c40E016A618A2339c9F1A91Fe4B1,16092,17
axelar1hwvwzygduad6qz6wwuhktfcv94w7jrz3g2gszh,14,17
osmo1syevk5xjy7hsknarlt285hlvzp3d7088dz4arh,161,17
osmo1xadepsz8wwrc2h9l8lj88888w045a7c0les5u8,14941,17
0x98bA19c8fd262709838AA4B5Bc7862857C35dD85,82153,16
axelar12xpc3s8ydnkwqyfxrr3utm4rycas26535ewkte,4,16
axelar15c2f36jgv3wuv3wh2enj6t4zeztn9hysc37znn,9604,16
axelar1l6algppxe5xxg8scfegtap7vqg23xay9p2ns2d,513,16
osmo1pjuufs7jk6sa5avs36uec8u8spf2hqq0strtky,28584,16
osmo1rphd0j66lpnzchpw956ejyhg237rffy9vgvrnh,1033315,16
0xe775360ad09529D2C01DB34D67Bb7D352C55bc49,35363,15
axelar13jwa4e4qzllvsu5axh5ffx6pfwzyr4mpywjgqt,1332,15
axelar1j4d5anu8y9v96kstzcmf03kuh6kfyyrnrkq2g9,594983,15
osmo15c2f36jgv3wuv3wh2enj6t4zeztn9hys5ym6wq,8849,15
osmo1attgczvw3zzhseyv03apprhcfzyykrjem285x0,146,15
osmo1azky7jmaj2rt0et7ha79495tpnt3hdryyx5akj,1743,15
osmo1gkkx2742tcsm70m83ft88k52kufg04wurm7eq2,6577,15
osmo1rghjugkrt3dw5h28ktt74v2yvxkc2gx3qd5uyu,73750,15
osmo1tqctx98qz2aa25j5knzuztxaerl3z0ld8q6c72,1530181,15
secret1gkkx2742tcsm70m83ft88k52kufg04wuf9eqty,6932,15
secret1vtulemrru26c0f0n30xjjg2q0gp2jlaww6mj52,48002,15
umee1ph65sftlddjcrvwl4lf4cpycmhhxpnu2tj99ha,79961,15
0xAa573f94bcca0a8083846430BA5120EddbfCa055,33058,14
0xeDb5330B19f177fb732E73a3F7F0FAa0C995D9A5,6600,14
axelar1jaz9f37cx6d435zkmw47cc8m7geh99twu7nlx8,5,14
axelar1jv20w8v2dkz00ulrx3ujshpr5mvkn7jrpu3kmj,517,14
axelar1qdnawhu60wcdc3zlk4klg0e3t6tersc9cahhkr,0,14
osmo142cvfqqkew57awj8xh47agz98qsz987egmh3nn,431,14
osmo1gky3wv5s7wfmvm9ql5e9ttpx67u0np0qmtvds8,10115,14
rebus1azky7jmaj2rt0et7ha79495tpnt3hdryahyc5k,2244,14
secret1hyl69v4ux6ydxvg67dkx3njyeu9z43a63hw8wg,27758,14
terra1yzppr3p6kfceh7c5n8zmvxjgqe3j7w7dyt7cr2,120289,14
0x12EdE16c6bB8c1f00662322708Ae7402737Eae73,25390,13
0x24a304386099637E578c02ffeAF2CF3dCFbAb751,89027,13
0x81c63722cD2d340637908D4e8fC0ca7c2FB04d26,115912,13
0xDBB3e49214E9784B008C65615e07f0FC9735b4E4,21224,13
0xF951a1ab8052fF43aB83436AfdcC0ae385B66e56,80222,13
axelar16fw3uu39jeelneq4plma3j7stwnheqz7twc0wh,368859,13
axelar1frzqzjk725850hzyq0e923z72epx4d9xu3nwzv,6,13
axelar1r2y9ay3snrqrw7neeh2kv27g53aml07aw9p8qy,28,13
osmo15qtk02q46zxxmhnjj65zqq2046nq8sshjc7cw9,8917,13
osmo1uf8fuu5uy2jt0qpzjuq2urhp7j8hnhw653eq2q,6532,13
terra1lelhxdzwn9ddecv6sv0kcxj5tguurxnzcxuf76,14056,13
umee1w8rfqalxpp652jt0p69lrccfx2akqqpu97mgry,40015,13
xpla1u0zw2nd0nh79av8uldh822tfuh9qd6r0rvgjnk,10904,13
