key,volume,num_txs
0xce16F69375520ab01377ce7B88f5BA8C48F8D666,1424315,402
0xDBA800F4Da03Dba3f604268aeC2AD9EB28A055A4,57921,250
osmo1cl3swpzudwjpwmswcjldfz8gt2p3zy4wrydfxq,77174,136
osmo1awav8afwjqy0f8uzcqek8pd0er7d9jgr5qv9p6,62102,129
evmos1fefnr5u7a3kk4xpeakae4x64ez03s86c5knten,104848,116
osmo19lylazg430e04n9pgf7zkyasemyg42j6dl4yss,74325,85
umee1u4s77a05f673awlv29yhw979uuy7qrwmsvzu4v,15345,83
osmo1u4s77a05f673awlv29yhw979uuy7qrwm2pvn8v,16026,72
osmo1tqctx98qz2aa25j5knzuztxaerl3z0ld8q6c72,1324426,53
kujira1200zz4f9r8dqsqtuuhew3u2xwtmaca9f5rfuaq,122000,48
osmo1kgz3tyxcfjfy0ckzm6sws452qlr7r9kefhaq7a,51614,46
juno1ljqgtsf4ack28k226gh0xgj076j94k6x082080,1139,45
osmo10xnqv49h7hh0gfspl7pq6w5nfqtkvj4rxzhel9,75110,45
0x6Dc48751802D2dF54c233970e6F4725CeE6dB91c,378773,44
osmo1q93xkwtfv7nut0eqjjws377wkjk972653azdj3,4274,42
osmo1relu08gd5alagczl679v684c0c685jf6vlaa4q,10777,39
axelar1aug3q7pq2ayhtyspv7ta2j3u784feuh7765met,49374,38
osmo1200zz4f9r8dqsqtuuhew3u2xwtmaca9fdsc5xc,98900,34
somm1ypejmkpfqrqmv5w7cscq874xf8rlggq7zf60py,22513,33
osmo1kjmy7vhzz954rqe293fxgc63ujqyy0nnq7qk6d,215798,31
osmo178swfpjp3qwes3wj8ffzqla9m56ewzxm0k49xk,18563,30
umee10xnqv49h7hh0gfspl7pq6w5nfqtkvj4ru0ekd9,50087,30
0x6F90681503683b55aE01A950464c223cB26d50e5,123643,29
0xaCfC1B5a2aa566542a4E34737b37b4111F86E47f,38816,29
osmo155rwmr4pdwdhymdx7jvj9ugk90lt5z7dhz7vnj,16275,29
osmo1kz336xdr2053m729pn2e85usvryq2wg53xanqx,79275,26
kujira1l0lphzse8m2zk3t045pup8j4sdyy8lcn8f7ppj,30133,25
0xE17c44b48159D8657CFE50FA171083443cA414d1,29109,24
0x177A6A32D73372911f772D050368a4512e021998,875056,23
0x7bD5A328b50BF30B2d92a668941D8cA8b1168829,32558,23
0x9d068f19DE114c2bA8Ef89F437D97DF78614e11D,29085,23
kujira10g7lezha5r00zzk4m6uuqjmgcqyem8wl5dqpj8,27490,23
