key,volume,num_txs
0xDBA800F4Da03Dba3f604268aeC2AD9EB28A055A4,82608,240
osmo18990ecjql0phf77t7aukvwfck4kud0wpkd0jfc,55343,148
0x0202542b8303461c3D219f01d5b3248b189224Eb,232650,131
0xA57ADCE1d2fE72949E4308867D894CD7E7DE0ef2,2137,119
0x90E34f5DF30F0510D32BB5E35816A2204E241fEb,7641346,115
osmo1e57n2krggdkzka69489sj57dm59w6v6q5xud6a,275050,112
osmo18xt39w2lw7q0u39z26hj0z6ft3k3cg3vufkdp0,52583,95
osmo1grullzupxxv7ntmg7unnqxjwlghssc9epnlztv,42111,90
cre1m48sacmaq34dz7zvd8yl0x02g6pd3px0czp6ne,82209,80
osmo12n2ae9mxch6z76gws0cqp92jp0882cmguw8387,87820,79
osmo13ark8qhcsgsttqp4rp6sfzsc0zsk7s2jq0zz8j,19254,79
0x3f6dfd42844E3596b03FA8D6019A543F65E12FCa,78243,77
terra1ec77uqfx5dvxlsrt609ndxzw25n322fnega352,146362,70
0x9d068f19DE114c2bA8Ef89F437D97DF78614e11D,1077379,62
kujira1saj00zca6c675ntjl5p0awcnvep97w0dm4a396,58092,62
osmo1l7r7ae5nxsqde862whfjh6mhlhcw953rvvccr9,85316,61
osmo13n20ds4kt063pasy8nl5y23cf6qwks7t7tjkge,56493,56
osmo14m3xw3546xjq2ppnyuxe8nk9muswlgspuafdp7,212176,55
0xC2708BD3424a383F4A91B17ab8D9c2321E6a7f8b,144415,54
osmo1tqctx98qz2aa25j5knzuztxaerl3z0ld8q6c72,4548971,51
kujira1fe4mvh5f7t0830fwcucuulj5w22vxtec9uyx9n,20483,47
osmo1y7087ld7nc6259f9dx2h0wru93p7jejwcc864r,94084,46
osmo168c475k8jthtv5s2kt7tydmk958dwyqg0flqeu,67242,44
kujira1p3gcm6ejm75wey82yr9xe289tgzws2qs0d9evk,56184,41
kujira1qgp4hwx2s0vp73hwv36mrgnk6mga0mxrvxcr4q,87486,41
kujira1d6ggny7c984pa79unalv2m63nn2v854qfntrmt,206980,40
osmo19053exc4qtrgstl3zeckavdulljls3729s2kyg,36420,38
osmo1g6vtfz65vn6s8ax4vpzdrt3lp7plrr0ke0v0qg,44210,38
osmo1gxh99pjlga34d5qkalyvpt8jhqlwceuxpjczsd,11699,37
0xb0E2312e43331F0489dffC535A9ecCbA84E6c844,216003,36
cre1wnlaa8pfusemv8pw6jlmujs4drz4h72nygpdf0,733155,36
osmo1gtwtl3r5ygyctrmuvcfepv5pkynnuysae2aq3f,131900,36
osmo1ny9csk46tsyajf4ulj2wnkaxc8rn0rsap6z72a,65409,35
kujira18xt39w2lw7q0u39z26hj0z6ft3k3cg3v96896h,26978,32
osmo1d6ggny7c984pa79unalv2m63nn2v854qsq6tqn,169449,31
osmo1wjjg0mvsfgnskjj7qq28uaxqwq5h38q68enshj,619768,31
osmo1mj5pdglvznzaxngq5ml60vd0uzkw8dwgulmw23,56702,30
terra1ykxgawqale0gd9wl5amseh5lpaeper3tenq7pv,4402,30
kujira1e57n2krggdkzka69489sj57dm59w6v6qd4d9p9,57095,29
kujira1grullzupxxv7ntmg7unnqxjwlghssc9ecqw2s5,11558,29
0xDaa101AD307ed9E83427E8d962038816B2C24884,143814,28
osmo1leml0maq70drz6awsz66c4djq3kstrd4kt6ze6,27189,28
osmo1pd3855xxwp0mdyyqnzk7ljv5vl04fvkuxzjaz4,83873,28
osmo1r4dn8jp79p9h39xqw0ldj5xet7pcfhg9wrveh8,21723,28
osmo1wcyj2apa4gnzcfa9f2kmfvc6yxw8jxfe2hcd5x,47608,28
osmo1wyn8049q26jeqhj4zdar42tpp6jlugdstm6h64,17906,28
kujira1fcjfkaxndx26zua4k6vfca8vnrayt23c2kp5xk,3134,27
osmo1x3z2vepjd7fhe30epncxjrk0lehq7xdqe8ltsn,250,27
