key,volume,num_txs
0xce16F69375520ab01377ce7B88f5BA8C48F8D666,4583141,507
0x4cb6F0ef0Eeb503f8065AF1A6E6D5DD46197d3d9,394600,378
0x69460570c93f9DE5E2edbC3052bf10125f0Ca22d,117481,258
0xa311f7Ca3Eb2Fb98123A807f9b8e4BbbDBDcB2Ee,186040,169
0x65A8F07Bd9A8598E1b5B6C0a88F4779DBC077675,275173,162
0x87ecb9eed05778AC1740C1Bc64915b37B2Cd8401,836150,144
0x24a304386099637E578c02ffeAF2CF3dCFbAb751,785255,113
osmo1awav8afwjqy0f8uzcqek8pd0er7d9jgr5qv9p6,47661,106
kujira1hwezrygqww9gznlzcyvdk2p7xdks2rqsdar2dq,259236,90
osmo1p4m9lsc4jdtmgkjg3rx6csn596pu2n7cfd2s3k,29254048,89
osmo1cl3swpzudwjpwmswcjldfz8gt2p3zy4wrydfxq,111224,70
axelar1mv5j0nknrr4j8gw57cw5yahfd5yr80ldjffkxd,183019,66
0xfAf45B64C87a53d1E789100ebB4FdD53Aa57b6bF,13700,63
kujira1m6nzm5pjxa5kgncz3562fa8wywhnst3jtqnnnc,363523,62
osmo1mv5j0nknrr4j8gw57cw5yahfd5yr80ld7uvwm7,198159,59
osmo1xadepsz8wwrc2h9l8lj88888w045a7c0les5u8,38404,57
0x7c627A481a6D50409EFf29DBbadE08Aa194a311c,430933,54
kujira1mv5j0nknrr4j8gw57cw5yahfd5yr80ld80axqx,265577,53
axelar1j4d5anu8y9v96kstzcmf03kuh6kfyyrnrkq2g9,65590,52
ki1wq05gpgcn8gfpwg5dglygxqt5aad52jj6yvlx0,5233,52
umee10xnqv49h7hh0gfspl7pq6w5nfqtkvj4ru0ekd9,61514,52
0x9117900a3794AD6D167Dd97853f82A1aA07F9BBc,557650,49
secret1q2egxy2h0r6q20fh6uay95txlrgeks3sh0v5un,175924,49
rebus18d00xl02je4z5uwkwsyvr5cpardlnnjscggwnk,1620,48
ki1venv3y6xdhl2z770kqgfcn5l4n680wt4lq8mjr,10609,45
0x800602E5447c8e7176F08D5429216a00472dc7A0,227833,44
0xce26C35D1acb6ac5988C07a70E0Eca872F2f2D93,17077,44
kujira18mu7qnygp902uvqtwps9ns5fq582fr3jx6vyhz,161073,43
osmo1tqctx98qz2aa25j5knzuztxaerl3z0ld8q6c72,1018437,41
umee1pjuufs7jk6sa5avs36uec8u8spf2hqq02xdyyy,82438,41
osmo1venv3y6xdhl2z770kqgfcn5l4n680wt4xk9yq9,7562,38
kujira1j4d5anu8y9v96kstzcmf03kuh6kfyyrnks56ww,146829,37
secret1ltgd359gpp5u70cx3zyfpg2splwjjt5383s9hg,16377,37
osmo1z7ekmpnlcw3krdca596tfy8qvyfcatpvfhn3vx,2770,36
osmo10xnqv49h7hh0gfspl7pq6w5nfqtkvj4rxzhel9,30908,35
0xB941Fde7dD2c1e129e3e4ae2303102c0407E20B9,49711,34
axelar1q2sj2fw8cu06u6hj040qequndr3npr7p68p9kq,204813,34
umee1u4s77a05f673awlv29yhw979uuy7qrwmsvzu4v,8002,34
0x90E34f5DF30F0510D32BB5E35816A2204E241fEb,2645335,33
axelar173jyq5s63ma76dp0n9ezjrmlvura8wcmwmu4cm,15973,33
osmo1emdd6a0ggdfdj9qq2w4luk9s0uca2v59z2ccq4,16496,33
xpla12yks2hdxqed3ej5kkfhz3x60mj966q923muyxc,58259,33
osmo12afx74mey05dpllkxsaqexhyeljstnuvsaug5y,68803,32
0x5D1d392C16dDA1a3e5C2C5654F9B7a2c2D888D34,54628,30
0x98bA19c8fd262709838AA4B5Bc7862857C35dD85,186079,30
osmo1nd0kzuaxycx9wuunmp4ph96607st9m79wjzvry,4882,29
secret1xv9pxd24343aqumprw037m7ad6yvu9htnmczev,48969,28
0x97F60788D3A2a1202e2a29254d15859a1C41E2A3,348385,27
0xB14c465129ba5c6c3f12dff9F4950EB6Df623160,75349,27
axelar1w2jmj6ndgraxu48hnxsmjj4en5exmcma6fk4c9,6059,27
